exposure_usd,kind,miles_above,miles_total,name,quantity,rank,unit,voltage_kv,worst
1510.0782795343548,substation,,,TAP209265,"115 kV substation, P 0%",89,site,115.0,0.00013982206291984767
1403.5343863794785,line,0.0,0.35382507816368247,PUD NO 1 OF OKANOGAN COUNTY 115 kV #211432,0.0 of 0 mi above 40%,90,mi,115.0,0.007345826830714941
1332.6614687684923,substation,,,UNKNOWN202484,"115 kV substation, P 0%",91,site,115.0,0.00012339458044152707
1099.47928502871,line,0.0,13.215192649703999,PUD NO 1 OF CHELAN COUNTY 115 kV #211364,0.0 of 13 mi above 40%,92,mi,115.0,0.00023050670279189944
1069.2784533039653,line,0.0,12.786975853157392,PUD NO 1 OF DOUGLAS COUNTY 115 kV #211415,0.0 of 13 mi above 40%,93,mi,115.0,0.00020342698553577065
1043.2706376484127,line,0.0,10.051495042794787,PUD NO 1 OF DOUGLAS COUNTY 115 kV #211413,0.0 of 10 mi above 40%,94,mi,115.0,0.0002611903182696551
1023.4159543503529,line,0.0,5.89020367973193,PUD NO 1 OF CHELAN COUNTY 115 kV #211458,0.0 of 6 mi above 40%,95,mi,115.0,0.0009697519708424807
947.9437968624742,line,0.0,7.338135343624151,PUD NO 1 OF CHELAN COUNTY 115 kV #211422,0.0 of 7 mi above 40%,96,mi,115.0,0.00033535013790242374
932.8710009121875,line,0.0,8.279654702190063,PUD NO 1 OF CHELAN COUNTY 115 kV #211428,0.0 of 8 mi above 40%,97,mi,115.0,0.0002780309587251395
908.2180930481446,line,0.0,4.273782426047123,PUD NO 1 OF CHELAN COUNTY 115 kV #211460,0.0 of 4 mi above 40%,98,mi,115.0,0.0004728544445242733
826.5917649363518,line,0.0,4.068442583563804,PUD NO 1 OF CHELAN COUNTY 115 kV #211459,0.0 of 4 mi above 40%,99,mi,115.0,0.0004442183708306402
699.6730370444458,line,0.0,2.0794346172945675,PUD NO 1 OF CHELAN COUNTY 115 kV #211440,0.0 of 2 mi above 40%,100,mi,115.0,0.0007321811863221228
639.0892800890122,line,0.0,7.587284860898218,PUD NO 1 OF CHELAN COUNTY 115 kV #211368,0.0 of 8 mi above 40%,101,mi,115.0,0.00017952796770259738
630.1762495681322,line,0.0,6.210943010840824,PUD NO 1 OF DOUGLAS COUNTY 115 kV #211414,0.0 of 6 mi above 40%,102,mi,115.0,0.00034599160426296294
